日付,発車時刻,到着時刻,乗車駅,降車駅,乗車駅番号,降車駅番号,会社,路線名,種別,列車名,列車番号,号車,前から両目,両数,編成番号（全）,編成番号（乗）,車両番号,距離（km）,その他詳細
2026/8/10,6:17,7:26,佐伯,延岡,,,,,,,2761M,1,,4,BO6106,BO6106,クロハ876-6,58.4,一部区間1日1本の普通列車（特急車両）　窓側に空きあり
2026/8/10,8:28,10:28,延岡,宮崎空港,,,,,,,739M,,2,2,V521,V521,クモハ817-521,89.7,
2026/8/10,10:45,10:53,宮崎空港,南宮崎,,,,,,,740M,,1,2,V521,V521,クモハ817-521,3.4,
2026/8/10,10:58,11:22,南宮崎,青島,,,,,,,5925D,,1,1,8097,8097,キハ40 8097,12.7,
2026/8/10,12:32,13:23,青島,油津,,,,,,,1929D,,2,2,8054+8069,8069,キハ40 8069,33.3,
2026/8/10,14:01,15:14,油津,志布志,,,,,,,1933D,,1,1,8104,8104,キハ40 8104,42.9,
2026/8/10,18:00,19:13,志布志,油津,,,,,,,1944D,,1,1,8100,8100,キハ40 8100,42.9,
2026/8/10,19:40,21:21,油津,宮崎,,,,,,,1946D,,2,2,8128+8099,8099,キハ40 8099,48.6,
2026/8/10,21:36,22:32,宮崎,都城,,,,,,,6893M,,1,2,V1502,V1502,クハ816-1502,50.0,
2026/8/10,22:39,0:07,都城,鹿児島中央,,,,,,,6973M,,2,2,V505,V505,クモハ817-505,75.9,
2026/8/11,6:36,6:48,鹿児島中央駅前,市役所前,,,,,,,,,,,1019,1019,,2.4,
2026/8/11,8:32,8:49,水族館口,鹿児島中央駅前,,,,,,,,,,,2122,2122,,2.6,
2026/8/11,10:02,12:56,鹿児島中央,枕崎,,,,,,,1333D,,1,2,104+106,104,キハ147 104,87.8,
2026/8/11,13:27,14:52,枕崎,指宿,,,,,,,5326D,,1,2,106+104,106,キハ147 106,42.1,
2026/8/11,15:53,17:10,指宿,鹿児島中央,,,,,,,1344D,,1,2,502,502,キハ200-1502,45.7,
2026/8/11,17:33,20:20,鹿児島中央,宮崎,,,,,,,6954M,,1,2,V505,V505,クモハ817-505,125.9,
2026/8/11,21:10,22:47,宮崎,延岡,,,,,,,766M,,1,4,V521+V529?,V521,クモハ817-521,83.7,
2026/8/12,5:53,7:02,延岡,佐伯,,,,,,,2720M,,1,2,N027,N027,クモハ815-27,58.4,
